               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 147,             0.02627,            0.019058,           0.0023307,             0.82755,             0.64753,             0.75223,             0.35566,            0.043813,            0.024543,           0.0064969,             0.00343,             0.00343,             0.00343
                 148,            0.026682,            0.018661,           0.0025645,             0.86165,             0.65597,             0.75133,             0.36278,            0.042951,             0.02452,           0.0059488,            0.003385,            0.003385,            0.003385
                 149,            0.025034,            0.016271,           0.0018737,             0.78238,             0.70939,             0.74765,             0.35876,            0.043849,            0.024834,           0.0056189,             0.00334,             0.00334,             0.00334
                 150,             0.02717,              0.0177,           0.0026289,             0.80187,             0.69455,             0.75487,             0.36233,            0.043068,            0.024587,           0.0057507,            0.003295,            0.003295,            0.003295
                 151,            0.025211,            0.016404,           0.0020185,             0.87109,             0.60743,             0.74285,             0.35407,            0.042905,            0.024642,           0.0063196,             0.00325,             0.00325,             0.00325
                 152,            0.025753,            0.016489,           0.0021746,             0.85107,             0.61976,             0.75034,             0.36062,            0.043039,            0.025229,           0.0057275,            0.003205,            0.003205,            0.003205
                 153,              0.0265,            0.018277,           0.0024437,             0.74111,             0.69057,             0.73698,             0.35084,            0.042823,            0.025314,           0.0054724,             0.00316,             0.00316,             0.00316
                 154,            0.026635,            0.019337,           0.0024015,             0.77105,             0.67797,             0.73583,              0.3562,            0.042573,            0.024695,           0.0055823,            0.003115,            0.003115,            0.003115
                 155,             0.02529,            0.017122,           0.0020962,             0.75222,             0.67425,             0.72942,              0.3418,            0.043095,            0.024361,           0.0060315,             0.00307,             0.00307,             0.00307
                 156,            0.025716,            0.016751,           0.0023719,             0.77733,              0.6768,             0.73025,             0.35161,            0.043171,            0.024022,           0.0060101,            0.003025,            0.003025,            0.003025
                 157,            0.026012,            0.018229,           0.0023417,             0.75711,             0.70884,             0.74158,             0.34994,            0.042791,            0.022985,           0.0060715,             0.00298,             0.00298,             0.00298
                 158,            0.025203,            0.017144,           0.0020607,             0.81649,             0.64613,             0.73966,             0.35859,            0.042902,            0.022865,           0.0061368,            0.002935,            0.002935,            0.002935
                 159,             0.02739,            0.018016,           0.0024964,             0.80965,             0.65014,             0.73879,             0.35288,            0.042575,            0.023121,           0.0063406,             0.00289,             0.00289,             0.00289
